seed,user_id,method,k,precision,recall,ndcg,hitrate,mrr,candidate_size,heldout_count,dimensions,walk_length,num_walks,window,p,q
3,avreylavelle,node2vec,50,0.02,1.0,0.19195872000656014,1.0,0.027777777777777776,40,1,64,20,50,10,1.0,1.0
3,avreylavelle,node2vec,100,0.01,1.0,0.19195872000656014,1.0,0.027777777777777776,40,1,64,20,50,10,1.0,1.0
3,bossitronio,node2vec,10,0.1,1.0,1.0,1.0,1.0,41,1,64,20,50,10,1.0,1.0
3,bossitronio,node2vec,50,0.02,1.0,1.0,1.0,1.0,41,1,64,20,50,10,1.0,1.0
3,bossitronio,node2vec,100,0.01,1.0,1.0,1.0,1.0,41,1,64,20,50,10,1.0,1.0
3,chandler,node2vec,10,0.0,0.0,0.0,0.0,0.0,47,1,64,20,50,10,1.0,1.0
3,chandler,node2vec,50,0.0,0.0,0.0,0.0,0.0,47,1,64,20,50,10,1.0,1.0
3,chandler,node2vec,100,0.0,0.0,0.0,0.0,0.0,47,1,64,20,50,10,1.0,1.0
3,isaacmeyer,node2vec,10,0.0,0.0,0.0,0.0,0.0,24,1,64,20,50,10,1.0,1.0
3,isaacmeyer,node2vec,50,0.0,0.0,0.0,0.0,0.0,24,1,64,20,50,10,1.0,1.0
3,isaacmeyer,node2vec,100,0.0,0.0,0.0,0.0,0.0,24,1,64,20,50,10,1.0,1.0
3,jnance142,node2vec,10,0.0,0.0,0.0,0.0,0.0,56,1,64,20,50,10,1.0,1.0
3,jnance142,node2vec,50,0.0,0.0,0.0,0.0,0.0,56,1,64,20,50,10,1.0,1.0
3,jnance142,node2vec,100,0.0,0.0,0.0,0.0,0.0,56,1,64,20,50,10,1.0,1.0
4,avreylavelle,node2vec,10,0.1,1.0,0.38685280723454163,1.0,0.2,40,1,64,20,50,10,1.0,1.0
4,avreylavelle,node2vec,50,0.02,1.0,0.38685280723454163,1.0,0.2,40,1,64,20,50,10,1.0,1.0
4,avreylavelle,node2vec,100,0.01,1.0,0.38685280723454163,1.0,0.2,40,1,64,20,50,10,1.0,1.0
4,bossitronio,node2vec,10,0.0,0.0,0.0,0.0,0.0,41,1,64,20,50,10,1.0,1.0
4,bossitronio,node2vec,50,0.0,0.0,0.0,0.0,0.0,41,1,64,20,50,10,1.0,1.0
4,bossitronio,node2vec,100,0.0,0.0,0.0,0.0,0.0,41,1,64,20,50,10,1.0,1.0
4,chandler,node2vec,10,0.0,0.0,0.0,0.0,0.0,47,1,64,20,50,10,1.0,1.0
4,chandler,node2vec,50,0.0,0.0,0.0,0.0,0.0,47,1,64,20,50,10,1.0,1.0
4,chandler,node2vec,100,0.0,0.0,0.0,0.0,0.0,47,1,64,20,50,10,1.0,1.0
